t,error_n20,error_n1000
0,0,0
0.005,,0.00000002080729166742401
0.01,,0.00000010375013015373469
0.015,,0.0000002482053378383142
0.02,,0.0000004535528530524857
0.025,,0.0000007191757143143462
0.030000000000000002,,0.0000010444600455628006
0.035,,0.0000014287950403923944
0.04,,0.000001871572947065303
0.045,,0.0000023721890536343437
0.049999999999999996,,0.000002930041673065986
0.05499999999999999,,0.000003544532127808253
0.05999999999999999,,0.000004215064736134977
0.06499999999999999,,0.000004941046796491655
0.06999999999999999,,0.000005721888573395617
0.075,,0.00000655700328411335
0.08,,0.000007445807082340217
0.085,,0.000008387719045876985
0.09000000000000001,,0.000009382161161863856
0.09500000000000001,,0.000010428558312680636
0.10000000000000002,,0.000011526338262513036
0.10500000000000002,,0.00001267493164325284
0.11000000000000003,,0.000013873771941175228
0.11500000000000003,,0.000015122295483394055
0.12000000000000004,,0.00001641994142431713
0.12500000000000003,,0.0000177661517321015
0.13000000000000003,,0.000019160371176107915
0.13500000000000004,,0.00002060204731335613
0.14000000000000004,,0.000022090630475424256
0.14500000000000005,,0.000023625573755570173
0.15000000000000005,,0.000025206332996074998
0.15500000000000005,,0.00002683236677580858
0.16000000000000006,,0.000028503136397017848
0.16500000000000006,,0.000030218105872781287
0.17000000000000007,,0.0000319767419153516
0.17500000000000007,,0.00003377851392316611
0.18000000000000008,,0.00003562289396841223
0.18500000000000008,,0.00003750935678570322
0.19000000000000009,,0.000039437379759532654
0.1950000000000001,,0.00004140644291206197
0.2000000000000001,,0.000043416028891685166
0.2050000000000001,,0.000045465622961371466
0.2100000000000001,,0.00004755471298623082
0.2150000000000001,,0.00004968278942263371
0.2200000000000001,,0.00005184934530655383
0.22500000000000012,,0.00005405387624179969
0.23000000000000012,,0.000056295880389467534
0.23500000000000013,,0.000058574858455506806
0.24000000000000013,,0.000060890313680950214
0.24500000000000013,,0.00006324175182925718
0.2500000000000001,0.0024414179817137116,0.00006562868117720999
0.2550000000000001,,0.00006805061250214628
0.2600000000000001,,0.00007050705907230004
0.2650000000000001,,0.00007299753663603248
0.27000000000000013,,0.00007552156341050775
0.27500000000000013,,0.00007807866007181197
0.28000000000000014,,0.00008066834974396198
0.28500000000000014,,0.00008329015798880235
0.29000000000000015,,0.00008594361279556928
0.29500000000000015,,0.00008862824457067653
0.30000000000000016,,0.00009134358612783444
0.30500000000000016,,0.00009408917267716976
0.31000000000000016,,0.00009686454181601079
0.31500000000000017,,0.00009966923351845125
0.3200000000000002,,0.00010250279012602448
0.3250000000000002,,0.00010536475633726727
0.3300000000000002,,0.00010825467919861609
0.3350000000000002,,0.000111172108094304
0.3400000000000002,,0.00011411659473725688
0.3450000000000002,,0.00011708769315887935
0.3500000000000002,,0.00012008495970050603
0.3550000000000002,,0.00012310795300407573
0.3600000000000002,,0.00012615623400147324
0.3650000000000002,,0.00012922936590742395
0.3700000000000002,,0.0001323269142083916
0.3750000000000002,,0.00013544844665513978
0.3800000000000002,,0.00013859353325273993
0.38500000000000023,,0.00014176174625191162
0.39000000000000024,,0.00014495266014058483
0.39500000000000024,,0.00014816585163446305
0.40000000000000024,,0.00015140089966869663
0.40500000000000025,,0.0001546573853896671
0.41000000000000025,,0.00015793489214499523
0.41500000000000026,,0.00016123300547676855
0.42000000000000026,,0.0001645513131126597
0.42500000000000027,,0.0001678894049559343
0.43000000000000027,,0.00017124687307978892
0.4350000000000003,,0.0001746233117168039
0.4400000000000003,,0.000178018317252282
0.4450000000000003,,0.00018143148821525568
0.4500000000000003,,0.00018486242527115948
0.4550000000000003,,0.0001883107312129484
0.4600000000000003,,0.00019177601095399233
0.4650000000000003,,0.00019525787151952745
0.4700000000000003,,0.0001987559220394397
0.4750000000000003,,0.0002022697737401602
0.4800000000000003,,0.00020579903993744875
0.4850000000000003,,0.00020934333602773414
0.4900000000000003,,0.00021290227948178586
0.49500000000000033,,0.0002164754898362764
0.5000000000000003,0.010458725324056561,0.00022006258868723094
0.5050000000000003,,0.00022366319968114556
0.5100000000000003,,0.00022727694850943614
0.5150000000000003,,0.0002309034628998896
0.5200000000000004,,0.00023454237261000266
0.5250000000000004,,0.00023819330941965422
0.5300000000000004,,0.00024185590712388905
0.5350000000000004,,0.00024552980152614534
0.5400000000000004,,0.00024921463043081626
0.5450000000000004,,0.00025291003363692166
0.5500000000000004,,0.0002566156529304475
0.5550000000000004,,0.0002603311320779067
